name_th,name_en,price,category,image,desc_th
"ລູກຊິ້ນ 3 ລູກ","3 Meatballs",10000, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Latte frappe","Latte Frappe",38000, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Latte+Frappe",""
"ເຂົ້າໄກ່ກອບ","Rice with Crispy Chicken",45000, main ,"https://placehold.co/100x100/d2b48c/ffffff?text=Chicken",""
"Macchiato hot&ice","Macchiato (Hot/Iced)",35000, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Macchiato",""
"ຂະໜົມເຄັກ ບາວນີ້","Brownie Cake",13000, dessert ,"https://placehold.co/100x100/8B4513/ffffff?text=Brownie",""
"ເຂົ້າຜັດໝູ","Pork Fried Rice",45000, main ,"https://placehold.co/100x100/f59e0b/ffffff?text=Fried+Rice",""
"ເຝີ ກາງ","Medium Pho",50000, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Pho",""
"ບາວນີ້ກອບ","ຄຸກກີ້",0, Cookies","25000"," appetizer "
"Cocoa mint ice","Iced Cocoa Mint",35000, majedo_drink ,"https://placehold.co/100x100/7b3f00/ffffff?text=Cocoa+Mint",""
"ເຂົ້າໜົມອົມ Halls ແດງ","Red Halls Candy",20000, appetizer ,"https://placehold.co/100x100/ff0000/ffffff?text=Halls",""
"ກະເພົາທະເລ+ງົວ","Holy Basil with Seafood & Beef",45000, main ,"https://placehold.co/100x100/00bfff/ffffff?text=Krapow",""
"ເຝີ ພິເສດ ໃຫຍ່","Pho (Special",0,60000," noodle ","https://placehold.co/100x100/a16207/ffffff?text=Pho"
"ເຝີ ຊີ້ນສົດທຳມະດາ","Pho with Fresh Meat (Regular)",45000, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Pho",""
"Strawberry frappe","Strawberry Frappe",38000, majedo_drink ,"https://placehold.co/100x100/FF6347/ffffff?text=Strawberry",""
"Matcha latte hot&ice","Matcha Latte (Hot/Iced)",35000, majedo_drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Matcha",""
"Milk hot&ice","Milk (Hot/Iced)",30000, majedo_drink ,"https://placehold.co/100x100/f0e68c/ffffff?text=Milk",""
"ເຂົ້າໄກ່ກອບເກົາຫຼີ","Rice with Korean Crispy Chicken",45000, main ,"https://placehold.co/100x100/dc143c/ffffff?text=Korean+Chicken",""
"ລູກຊີ້ນ 6 ລູກ","6 Meatballs",20000, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Mirinda","Mirinda",15000, drink ,"https://placehold.co/100x100/f97316/ffffff?text=Mirinda",""
"Blueberry coconut frappe","Blueberry Coconut Frappe",35000, majedo_drink ,"https://placehold.co/100x100/4682B4/ffffff?text=Blueberry",""
"Lemon soda","Lemon Soda",30000, majedo_drink ,"https://placehold.co/100x100/eab308/ffffff?text=Lemon+Soda",""
"Caramel milk hot&ice","Caramel Milk (Hot/Iced)",33000, majedo_drink ,"https://placehold.co/100x100/DAA520/ffffff?text=Caramel+Milk",""
"ໃນຕາເວັນ","Tawan Snack (Sunflower Seed Snack)",15000, appetizer ,"https://placehold.co/100x100/ffd700/000000?text=Tawan",""
"ໄກ່ກອບມ່າລ່າ","Crispy Mala Chicken",45000, main ,"https://placehold.co/100x100/dc143c/ffffff?text=Mala+Chicken",""
"Black honey hot&ice","Black Honey (Hot/Iced)",33000, majedo_drink ,"https://placehold.co/100x100/000000/ffffff?text=Black+Honey",""
"Matcha coconut","Matcha Coconut",40000, majedo_drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Matcha+Coconut",""
"Matcha coconut","Matcha Coconut",40000, majedo_drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Matcha+Coconut",""
"ຂະໜົມນ້ອຍ","Small Snack",5000, appetizer ,"https://placehold.co/100x100/d2b48c/ffffff?text=Snack",""
