name_th,name_en,price,category,image,desc_th
"Small Tiger Head (M-150)"," 5",0, drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Water",""
"Espresso (Hot/Iced)"," 33",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Espresso",""
"Holy Basil with Seafood & Beef"," 45",0, main ,"https://placehold.co/100x100/00bfff/ffffff?text=Krapow",""
"Seafood Pho"," 45",0, noodle ,"https://placehold.co/100x100/00bfff/ffffff?text=Seafood+Pho",""
"Instant Noodles (Wai Wai Brand)"," 45",0, noodle ,"https://placehold.co/100x100/ff6347/ffffff?text=Wai+Wai",""
"Pho with Meatballs"," 45",0, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Pho",""
"Red Halls Candy"," 20",0, appetizer ,"https://placehold.co/100x100/ff0000/ffffff?text=Halls",""
"Mirinda"," 15",0, drink ,"https://placehold.co/100x100/f97316/ffffff?text=Mirinda",""
"5 Meatballs"," 18",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Blueberry Coconut Frappe"," 35",0, majedo_drink ,"https://placehold.co/100x100/4682B4/ffffff?text=Blueberry",""
"Cocoa (Hot/Iced)"," 30",0, majedo_drink ,"https://placehold.co/100x100/7b3f00/ffffff?text=Cocoa",""
"Rice with Minced Pork Omelette"," 45",0, main ,"https://placehold.co/100x100/eab308/ffffff?text=Omelette",""
"Plate of Plain Steamed Rice"," 10",0, main ,"https://placehold.co/100x100/f5f5f5/000000?text=Rice",""
"Matcha Latte (Hot/Iced)"," 35",0, majedo_drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Matcha",""
"Crispy Brownie"," Cookies",0,000 "," appetizer ","https://placehold.co/100x100/8B4513/ffffff?text=Snack"
"Red Halls Candy"," 20",0, appetizer ,"https://placehold.co/100x100/ff0000/ffffff?text=Halls",""
"Drunken Stir-fry"," 60",0, main ,"https://placehold.co/100x100/deb887/ffffff?text=Pad+Kee+Mao",""
"Mocha Frappe"," 38",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Mocha+Frappe",""
"Blanched Beef Shank mixed with Pork Sausage"," 50",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Boiled",""
"Pork Fried Rice"," 45",0, main ,"https://placehold.co/100x100/f59e0b/ffffff?text=Fried+Rice",""
"Holy Basil with Seafood & Beef"," 45",0, main ,"https://placehold.co/100x100/00bfff/ffffff?text=Krapow",""
"Espresso Frappe"," 38",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Esp+Frappe",""
"Crispy Mala Chicken"," 45",0, main ,"https://placehold.co/100x100/dc143c/ffffff?text=Mala+Chicken",""
"Drunken Stir-fry"," 60",0, main ,"https://placehold.co/100x100/deb887/ffffff?text=Pad+Kee+Mao",""
"Caramel Milk (Hot/Iced)"," 33",0, majedo_drink ,"https://placehold.co/100x100/DAA520/ffffff?text=Caramel+Milk",""
"Brownie Cake"," 13",0, dessert ,"https://placehold.co/100x100/8B4513/ffffff?text=Brownie",""
"14 Meatballs"," 49",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Mocha Frappe"," 38",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Mocha",""
"Mirinda"," 15",0, drink ,"https://placehold.co/100x100/f97316/ffffff?text=Mirinda",""
"6 Meatballs"," 20",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Crispy Mala Chicken"," 45",0, main ,"https://placehold.co/100x100/dc143c/ffffff?text=Mala+Chicken",""
"Mocha Frappe"," 38",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Mocha",""
"Pork Fried Rice"," 45",0, main ,"https://placehold.co/100x100/f59e0b/ffffff?text=Fried+Rice",""
"20 Meatballs"," 70",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Seafood Fried Rice"," 45",0, main ,"https://placehold.co/100x100/00bfff/ffffff?text=Fried+Rice",""
"Homie brand snacks/biscuits"," 12",0, appetizer ,"https://placehold.co/100x100/d2b48c/ffffff?text=Homie",""
"Blanched Beef Shank"," 50",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Boiled",""
"Pepsi"," 15",0, drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Pepsi",""
"Lemon Tea (Hot/Iced)"," 30",0, majedo_drink ,"https://placehold.co/100x100/eab308/ffffff?text=Lemon+Tea",""
"Dried Chili Snack"," 15",0, appetizer ,"https://placehold.co/100x100/dc143c/ffffff?text=Snack",""
"Medium Pho"," 50",0, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Pho",""
"Pepsi"," 15",0, drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Pepsi",""
"Americano (Hot/Iced)"," 30",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Americano",""
"Iced Green Tea Honey Lemon"," 35",0, majedo_drink ,"https://placehold.co/100x100/f0e68c/ffffff?text=Iced Green Tea Honey Lemon",""
"Bubble Tea"," 5",0, drink ,"https://placehold.co/100x100/a16207/ffffff?text=Bubble+Tea",""
"Extra Pho Noodles"," 10",0, noodle ,"https://placehold.co/100x100/deb887/ffffff?text=Noodles",""
"Pho (Special"," Large)",0,000 "," noodle ","https://placehold.co/100x100/a16207/ffffff?text=Pho"
"Rice with Holy Basil Pork (Special)"," 50",0, main ,"https://placehold.co/100x100/ef4444/ffffff?text=Krapow",""
"Small Tiger Head (M-150)"," 5",0, drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Water",""
"Cappuccino Frappe"," 38",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Cap+Frappe",""
"Seafood Fried Rice"," 45",0, main ,"https://placehold.co/100x100/00bfff/ffffff?text=Fried+Rice",""
"14 Meatballs"," 49",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Matcha Latte (Hot/Iced)"," 35",0, majedo_drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Matcha",""
"Special Vietnamese Noodle Roll Soup"," 60",0, noodle ,"https://placehold.co/100x100/deb887/ffffff?text=Kuay+Jap",""
"Matcha Latte (Hot/Iced)"," 35",0, majedo_drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Matcha",""
"Plate of Plain Steamed Rice"," 10",0, main ,"https://placehold.co/100x100/f5f5f5/000000?text=Rice",""
"Blueberry Coconut Frappe"," 35",0, majedo_drink ,"https://placehold.co/100x100/4682B4/ffffff?text=Blueberry",""
"Instant Noodles with Meatballs"," 45",0, noodle ,"https://placehold.co/100x100/ff6347/ffffff?text=Wai+Wai",""
"Pepsi"," 15",0, drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Pepsi",""
"Plate of Plain Steamed Rice"," 10",0, main ,"https://placehold.co/100x100/f5f5f5/000000?text=Rice",""
"Crispy Mala Chicken"," 45",0, main ,"https://placehold.co/100x100/dc143c/ffffff?text=Mala+Chicken",""
"Small Snack"," 5",0, appetizer ,"https://placehold.co/100x100/d2b48c/ffffff?text=Snack",""
"Thai Tea Frappe"," 35",0, majedo_drink ,"https://placehold.co/100x100/f97316/ffffff?text=Thai+Tea+Frappe",""
"Medium Tiger Head (M-150)"," 8",0, drink ,"https://placehold.co/100x100/a16207/ffffff?text=Water",""
"10 Meatballs"," 35",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Iced Cocoa Mint"," 35",0, majedo_drink ,"https://placehold.co/100x100/7b3f00/ffffff?text=Cocoa+Mint",""
"Hojicha Frappe"," 40",0, majedo_drink ,"https://placehold.co/100x100/8B4513/ffffff?text=Hojicha+Frappe",""
"Crispy Brownie"," Cookies",0,000 "," appetizer ","https://placehold.co/100x100/8B4513/ffffff?text=Snack"
"5 Meatballs"," 18",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Rice with Korean Crispy Chicken"," 45",0, main ,"https://placehold.co/100x100/dc143c/ffffff?text=Korean+Chicken",""
"Bubble Tea"," 5",0, drink ,"https://placehold.co/100x100/a16207/ffffff?text=Bubble+Tea",""
"Pho (Special"," Large)",0,000 "," noodle ","https://placehold.co/100x100/a16207/ffffff?text=Pho"
"Medium Tiger Head (M-150)"," 8",0, drink ,"https://placehold.co/100x100/a16207/ffffff?text=Water",""
"Seafood Pho"," 45",0, noodle ,"https://placehold.co/100x100/00bfff/ffffff?text=Seafood+Pho",""
"Kao Lao (Soup without noodles)"," 45",0, noodle ,"https://placehold.co/100x100/8b4513/ffffff?text=Kao+Lao",""
"Crispy Brownie"," Cookies",0,000 "," appetizer ","https://placehold.co/100x100/8B4513/ffffff?text=Snack"
"Pho with Fresh Meat (Regular)"," 45",0, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Pho",""
"Pepsi"," 15",0, drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Pepsi",""
"Pho with Fresh Meat (Medium)"," 55",0, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Pho",""
"Fried Egg"," 5",0, main ,"https://placehold.co/100x100/eab308/ffffff?text=Egg",""
"Iced Cocoa Thai Tea"," 35",0, majedo_drink ,"https://placehold.co/100x100/f97316/ffffff?text=Cocoa+Thai+Tea",""
"Caramel Milk (Hot/Iced)"," 33",0, majedo_drink ,"https://placehold.co/100x100/DAA520/ffffff?text=Caramel+Milk",""
"Macchiato (Hot/Iced)"," 35",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Macchiato",""
"Medium Tiger Head (M-150)"," 8",0, drink ,"https://placehold.co/100x100/a16207/ffffff?text=Water",""
"Lemon Soda"," 30",0, majedo_drink ,"https://placehold.co/100x100/eab308/ffffff?text=Lemon+Soda",""
"Seafood Fried Rice"," 45",0, main ,"https://placehold.co/100x100/00bfff/ffffff?text=Fried+Rice",""
"Latte Frappe"," 38",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Latte+Frappe",""
"14 Meatballs"," 49",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Rice with Holy Basil Pork (Special)"," 50",0, main ,"https://placehold.co/100x100/ef4444/ffffff?text=Krapow",""
"Strawberry Frappe"," 38",0, majedo_drink ,"https://placehold.co/100x100/FF6347/ffffff?text=Strawberry",""
"Green Tea (Hot/Iced)"," 30",0, majedo_drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Green+Tea",""
"Special Vietnamese Noodle Roll Soup"," 60",0, noodle ,"https://placehold.co/100x100/deb887/ffffff?text=Kuay+Jap",""
"Homie brand snacks/biscuits"," 12",0, appetizer ,"https://placehold.co/100x100/d2b48c/ffffff?text=Homie",""
"Macchiato Frappe"," 40",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Mac+Frappe",""
"Pho with Fresh Meat (Regular)"," 45",0, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Pho",""
"Stir-fried Vegetables over Rice"," 45",0, main ,"https://placehold.co/100x100/22c55e/ffffff?text=Veggies",""
"Drunken Stir-fry with Pork"," 50",0, main ,"https://placehold.co/100x100/ef4444/ffffff?text=Stir-fry",""
"Hojicha Frappe"," 40",0, majedo_drink ,"https://placehold.co/100x100/8B4513/ffffff?text=Hojicha+Frappe",""
"Special Vietnamese Noodle Roll Soup"," 60",0, noodle ,"https://placehold.co/100x100/deb887/ffffff?text=Kuay+Jap",""
"Espresso (Hot/Iced)"," 33",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Espresso",""
"Seafood Pho"," 45",0, noodle ,"https://placehold.co/100x100/00bfff/ffffff?text=Seafood+Pho",""
"Thai Tea Coconut"," 40",0, majedo_drink ,"https://placehold.co/100x100/f97316/ffffff?text=Thai+Tea+Coconut",""
"Lemon Tea (Hot/Iced)"," 30",0, majedo_drink ,"https://placehold.co/100x100/eab308/ffffff?text=Lemon+Tea",""
"Croissant"," 37",0, majedo_drink ,"https://placehold.co/100x100/d2b48c/ffffff?text=Croissant",""
"Black Honey (Hot/Iced)"," 33",0, majedo_drink ,"https://placehold.co/100x100/000000/ffffff?text=Black+Honey",""
"Green Tea Frappe"," 35",0, majedo_drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Green+Tea+Frappe",""
"Rice with Crispy Chicken"," 45",0, main ,"https://placehold.co/100x100/d2b48c/ffffff?text=Chicken",""
"Combination Pho"," 55",0, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Pho",""
"Americano (Hot/Iced)"," 30",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Americano",""
"Stir-fried Vegetables over Rice"," 45",0, main ,"https://placehold.co/100x100/22c55e/ffffff?text=Veggies",""
"Plate of Plain Steamed Rice"," 10",0, main ,"https://placehold.co/100x100/f5f5f5/000000?text=Rice",""
"Sting"," 15",0, drink ,"https://placehold.co/100x100/f97316/ffffff?text=Sting",""
"Stir-fried Vegetables over Rice"," 45",0, main ,"https://placehold.co/100x100/22c55e/ffffff?text=Veggies",""
"Drunken Stir-fry"," 60",0, main ,"https://placehold.co/100x100/deb887/ffffff?text=Pad+Kee+Mao",""
"14 Meatballs"," 49",0, others ,"https://placehold.co/100x100/a16207/ffffff?text=Meatballs",""
"Rice with Korean Crispy Chicken"," 45",0, main ,"https://placehold.co/100x100/dc143c/ffffff?text=Korean+Chicken",""
"Red Halls Candy"," 20",0, appetizer ,"https://placehold.co/100x100/ff0000/ffffff?text=Halls",""
"Seafood Pho"," 45",0, noodle ,"https://placehold.co/100x100/00bfff/ffffff?text=Seafood+Pho",""
"Blanched Fresh Meat"," 45",0, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Hot+Pot",""
"Dried Chili Snack"," 15",0, appetizer ,"https://placehold.co/100x100/dc143c/ffffff?text=Snack",""
"Matcha Frappe"," 40",0, majedo_drink ,"https://placehold.co/100x100/22c55e/ffffff?text=Matcha+Frappe",""
"Cappuccino (Hot/Iced)"," 33",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Cappuccino",""
"Croissant"," 37",0, majedo_drink ,"https://placehold.co/100x100/d2b48c/ffffff?text=Croissant",""
"Mocha Frappe"," 38",0, majedo_drink ,"https://placehold.co/100x100/6f4e37/ffffff?text=Mocha+Frappe",""
"Black Lemon"," 33",0, majedo_drink ,"https://placehold.co/100x100/eab308/ffffff?text=Lemon",""
"Medium Pho"," 50",0, noodle ,"https://placehold.co/100x100/a16207/ffffff?text=Pho",""
"Iced Lemon Green Tea"," 30",0, majedo_drink ,"https://placehold.co/100x100/d2b48c/ffffff?text=Iced Lemon Green Tea",""
"Black Lemon"," 33",0, majedo_drink ,"https://placehold.co/100x100/eab308/ffffff?text=Lemon",""
